serviceid,providerid,gen_microcell,latitude,longitude,timestamp,speed,latency,bandwidth,coverage,reliability,security,origin,true_label,true_label_spa,true_label_bma
100089,P1000085,M110,-33.828972923308115,151.2163312332427,2024-03-12,4.9,4.83,4.97,4.93,4.97,5.0,G,C,C,C
100093,P1000089,M105,-33.79585,151.28527,2023-08-26,5.0,4.81,4.94,4.98,5.0,5.0,G,C,C,C
100095,P1000090,M115,-33.75122,151.25772,2024-02-17,4.64,4.42,4.36,4.82,4.72,4.96,G,C,C,C
100097,P1000074,M104,-33.864532,151.207611,2024-01-02,4.29,3.86,3.57,4.71,5.0,5.0,G,C,C,C
100100,P1000094,M113,-33.8017879,151.1765299,2024-02-10,4.7,4.65,4.59,4.81,4.84,4.86,G,C,C,C
100101,P1000085,M107,-33.75470594557184,151.1497291880052,2024-02-17,4.92,4.66,4.95,4.89,4.97,4.71,G,C,C,C
100102,P1000095,M108,-33.649899388892656,151.2796016585502,2024-02-17,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100103,P1000096,M103,-33.82763,151.08623,2024-03-17,4.89,4.5,4.63,4.88,4.88,4.88,G,C,C,C
100108,P1000016,M103,-33.82763,151.08623,2024-02-23,4.92,4.85,4.92,5.0,5.0,4.92,G,C,C,C
100112,P1000104,M125,-33.80662,151.15517,2022-10-30,5.0,4.92,5.0,5.0,5.0,4.77,G,C,C,C
100113,P1000105,M130,-33.8513269,151.0609753,2024-02-25,4.58,4.5,5.0,4.17,4.75,4.5,G,C,C,C
100114,P1000106,M103,-33.82763,151.08623,2024-02-16,4.65,4.52,4.83,4.95,4.95,4.73,G,C,C,C
100115,P1000107,M114,-33.91571,151.17268,2024-03-02,4.88,4.92,4.8,4.68,5.0,4.84,G,C,C,C
100117,P1000109,M131,-33.8388,151.23511,2023-04-11,4.65,4.39,4.65,4.61,4.87,4.96,G,C,C,C
100120,P1000073,M104,-33.864532,151.207611,2024-01-04,3.6,3.8,3.8,4.2,4.2,4.6,G,C,C,C
100122,P1000112,M129,-33.9279519,151.1552776,2024-02-06,4.5,4.5,4.5,4.83,4.83,5.0,G,C,C,C
100123,P1000113,M104,-33.864532,151.207611,2024-03-07,5.0,4.0,4.5,5.0,5.0,5.0,G,C,C,C
100130,P1000120,M115,-33.75122,151.25772,2024-01-12,4.0,3.0,1.0,5.0,5.0,4.0,G,C,C,C
100133,P1000123,M108,-33.649899388892656,151.2796016585502,2024-03-14,4.8,4.82,4.89,4.93,4.89,4.91,G,C,C,C
100140,P1000129,M108,-33.649899388892656,151.2796016585502,2024-02-25,4.83,4.67,4.83,5.0,5.0,5.0,G,C,C,C
100143,P1000132,M104,-33.864532,151.207611,2023-12-18,4.13,3.88,4.0,4.13,3.75,4.5,G,C,C,C
100145,P1000133,M115,-33.75122,151.25772,2021-01-25,4.5,5.0,4.0,5.0,5.0,5.0,G,C,C,C
100149,P1000137,M118,-33.716291,151.1083268,2023-03-21,5.0,5.0,5.0,5.0,5.0,4.33,G,C,C,C
100151,P1000003,M128,-33.78071975708008,151.11386108398438,2023-07-10,4.75,4.75,4.58,4.67,5.0,4.58,G,C,C,C
100152,P1000085,M130,-33.8513269,151.0609753,2024-03-16,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100155,P1000132,M119,-33.88101,151.22511,2024-03-09,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100156,P1000055,M102,-33.89055,151.27523,2024-01-03,5.0,5.0,5.0,4.83,4.67,5.0,G,C,C,C
100160,P1000107,M104,-33.864532,151.207611,2024-03-15,4.92,4.83,4.86,4.89,4.98,4.98,G,C,C,C
100164,P1000147,M131,-33.8388,151.23511,2024-03-11,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100165,P1000148,M103,-33.82763,151.08623,2024-02-28,4.89,4.87,4.95,4.82,4.92,4.77,G,C,C,C
100166,P1000149,M109,-33.92552,151.25489,2024-03-09,4.83,4.59,4.76,4.78,4.85,4.72,G,C,C,C
100170,P1000073,M104,-33.864532,151.207611,2024-02-15,4.26,4.26,3.96,4.79,4.59,4.76,G,C,C,C
100173,P1000155,M104,-33.864532,151.207611,2023-10-30,4.51,4.47,4.6,4.57,4.54,4.83,G,C,C,C
100184,P1000107,M133,-33.9410801,151.100121,2024-02-29,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100185,P1000166,M120,-33.94157370178417,150.79405669122934,2024-01-02,3.4,3.0,3.4,4.6,4.6,3.8,G,C,C,C
100186,P1000167,M130,-33.8513269,151.0609753,2024-02-27,4.75,4.13,4.63,4.5,4.88,4.88,G,C,C,C
100192,P1000106,M104,-33.864532,151.207611,2024-02-22,4.68,4.5,4.8,4.82,4.8,4.73,G,C,C,C
100193,P1000149,M102,-33.89055,151.27523,2024-03-12,4.75,4.73,4.78,4.83,4.8,4.8,G,C,C,C
100194,P1000132,M104,-33.864532,151.207611,2023-12-02,5.0,4.0,4.0,5.0,4.0,5.0,G,C,C,C
100197,P1000048,M108,-33.649899388892656,151.2796016585502,2024-02-21,4.44,3.89,4.44,5.0,4.89,4.89,G,C,C,C
100200,P1000175,M130,-33.8513269,151.0609753,2024-01-05,4.74,4.7,4.87,4.65,4.91,4.87,G,C,C,C
100205,P1000095,M108,-33.649899388892656,151.2796016585502,2024-02-03,4.91,4.68,4.77,4.91,4.77,5.0,G,C,C,C
100207,P1000095,M108,-33.649899388892656,151.2796016585502,2023-07-12,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100209,P1000095,M108,-33.649899388892656,151.2796016585502,2023-11-18,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100211,P1000003,M110,-33.828972923308115,151.2163312332427,2024-01-08,4.71,4.53,4.53,4.76,4.82,4.88,G,C,C,C
100212,P1000181,M104,-33.864532,151.207611,2024-02-23,4.67,4.67,4.67,4.67,4.67,4.67,G,C,C,C
100215,P1000184,M123,-33.6860173,150.8958334,2024-03-10,4.94,4.75,4.63,4.75,4.81,4.81,G,C,C,C
100219,P1000187,M126,-33.92749,151.12542,2020-08-11,4.2,4.8,3.2,4.8,5.0,4.8,G,C,C,C
100226,P1000193,M104,-33.864532,151.207611,2024-02-28,4.79,4.57,4.43,4.79,4.93,4.79,G,C,C,C
100229,P1000196,M113,-33.8017879,151.1765299,2020-12-09,4.33,4.33,4.33,5.0,4.67,4.67,G,C,C,C
100231,P1000198,M114,-33.91571,151.17268,2024-03-09,4.5,4.56,4.75,4.75,4.63,4.94,G,C,C,C
100238,P1000205,M109,-33.92552,151.25489,2024-02-23,5.0,4.33,4.67,5.0,5.0,5.0,G,C,C,C
100241,P1000207,M118,-33.716291,151.1083268,2024-03-02,4.81,4.8,4.96,4.98,4.96,4.61,G,C,C,C
100247,P1000213,M102,-33.89055,151.27523,2024-02-22,5.0,4.67,5.0,5.0,5.0,5.0,G,C,C,C
100248,P1000055,M102,-33.89055,151.27523,2024-01-21,5.0,4.8,4.6,4.8,5.0,5.0,G,C,C,C
100253,P1000076,M109,-33.92552,151.25489,2023-10-02,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100255,P1000219,M104,-33.864532,151.207611,2024-03-01,4.6,4.5,4.75,4.75,4.75,5.0,G,C,C,C
100258,P1000016,M130,-33.8513269,151.0609753,2024-03-02,4.75,4.71,4.71,4.57,5.0,4.71,G,C,C,C
100264,P1000227,M135,-33.87585,151.10469,2024-03-16,5.0,4.5,4.5,5.0,4.5,5.0,G,C,C,C
100268,P1000231,M114,-33.91571,151.17268,2023-10-01,4.6,4.5,4.7,4.7,4.9,4.5,G,C,C,C
100271,P1000049,M123,-33.6860173,150.8958334,2024-03-02,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100272,P1000234,M130,-33.8513269,151.0609753,2024-02-27,4.92,4.92,4.92,4.92,5.0,5.0,G,C,C,C
100277,P1000219,M130,-33.8513269,151.0609753,2024-02-26,5.0,5.0,5.0,4.0,4.5,5.0,G,C,C,C
100284,P1000016,M130,-33.8513269,151.0609753,2023-04-14,4.67,4.78,4.78,4.89,4.89,4.89,G,C,C,C
100285,P1000243,M102,-33.89055,151.27523,2024-03-16,4.97,4.91,4.96,4.88,5.0,5.0,G,C,C,C
100303,P1000260,M119,-33.88101,151.22511,2022-08-04,4.64,4.75,4.7,4.96,4.99,4.89,G,C,C,C
100304,P1000261,M106,-33.73635045169837,150.71367952034564,2024-03-07,4.65,4.65,4.76,4.82,4.76,4.47,G,C,C,C
100306,P1000077,M135,-33.87585,151.10469,2024-02-26,4.67,4.83,4.5,4.67,5.0,4.83,G,C,C,C
100314,P1000076,M131,-33.8388,151.23511,2024-03-05,4.39,4.41,4.35,4.68,4.58,4.93,G,C,C,C
100315,P1000270,M115,-33.75122,151.25772,2024-01-09,4.75,4.5,4.75,4.75,4.75,4.63,G,C,C,C
100316,P1000017,M119,-33.88101,151.22511,2024-01-11,4.4,4.4,4.22,4.73,4.76,4.71,G,C,C,C
100320,P1000273,M122,-33.72719,151.00848,2023-10-01,4.57,4.71,4.71,4.57,4.86,4.86,G,C,C,C
100324,P1000049,M104,-33.864532,151.207611,2024-01-02,4.19,4.0,4.19,4.5,4.63,4.69,G,C,C,C
100339,P1000288,M104,-33.864532,151.207611,2024-02-12,4.64,4.36,4.64,4.64,4.73,4.91,G,C,C,C
100341,P1000055,M102,-33.89055,151.27523,2024-03-07,4.85,4.8,5.0,4.9,4.85,4.9,G,C,C,C
100343,P1000291,M104,-33.864532,151.207611,2024-02-25,5.0,5.0,5.0,4.25,5.0,5.0,G,C,C,C
100347,P1000193,M119,-33.88101,151.22511,2024-02-14,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100348,P1000055,M102,-33.89055,151.27523,2023-09-22,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100349,P1000009,M127,-33.8909571,151.1195413,2024-01-01,4.0,3.5,3.83,4.33,4.33,5.0,G,C,C,C
100359,P1000107,M129,-33.9279519,151.1552776,2024-01-12,4.83,4.83,4.83,5.0,5.0,4.75,G,C,C,C
100367,P1000076,M119,-33.88101,151.22511,2024-03-03,5.0,4.77,4.92,4.77,4.85,4.92,G,C,C,C
100369,P1000308,M119,-33.88101,151.22511,2024-03-05,4.57,4.43,4.38,4.95,4.95,4.95,G,C,C,C
100371,P1000035,M104,-33.864532,151.207611,2024-02-10,4.25,4.43,4.88,4.88,4.88,4.88,G,C,C,C
100375,P1000003,M104,-33.864532,151.207611,2024-03-11,4.78,4.48,4.78,4.78,4.7,5.0,G,C,C,C
100376,P1000055,M104,-33.864532,151.207611,2024-03-02,4.71,4.62,4.68,4.86,4.83,4.94,G,C,C,C
100377,P1000003,M104,-33.864532,151.207611,2023-06-25,4.56,4.56,4.75,4.75,4.56,5.0,G,C,C,C
100379,P1000095,M104,-33.864532,151.207611,2024-02-26,4.74,4.45,4.48,4.9,4.77,4.9,G,C,C,C
100380,P1000076,M104,-33.864532,151.207611,2024-02-26,4.36,3.86,4.64,4.43,4.57,4.43,G,C,C,C
100381,P1000314,M102,-33.89055,151.27523,2024-02-25,5.0,4.5,5.0,5.0,5.0,5.0,G,C,C,C
100382,P1000107,M104,-33.864532,151.207611,2024-03-02,4.88,4.38,4.38,5.0,5.0,5.0,G,C,C,C
100384,P1000316,M104,-33.864532,151.207611,2024-03-02,4.9,4.83,4.78,4.97,4.98,4.94,G,C,C,C
100385,P1000003,M104,-33.864532,151.207611,2020-10-04,5.0,4.67,4.33,4.67,5.0,5.0,G,C,C,C
100388,P1000273,M130,-33.8513269,151.0609753,2024-02-11,4.0,4.0,3.5,5.0,5.0,5.0,G,C,C,C
100390,P1000017,M102,-33.89055,151.27523,2024-03-15,4.8,4.2,4.6,5.0,4.8,5.0,G,C,C,C
100394,P1000323,M104,-33.864532,151.207611,2024-03-02,4.82,4.7,4.8,4.8,4.9,4.9,G,C,C,C
100396,P1000205,M102,-33.89055,151.27523,2024-03-05,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100399,P1000327,M136,-33.86999,151.08825,2024-03-14,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100400,P1000328,M110,-33.828972923308115,151.2163312332427,2024-03-03,4.75,4.67,5.0,5.0,5.0,3.33,G,C,C,C
100402,P1000089,M115,-33.75122,151.25772,2024-03-03,5.0,4.95,5.0,5.0,5.0,4.84,G,C,C,C
100405,P1000332,M105,-33.79585,151.28527,2023-08-19,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100408,P1000335,M123,-33.6860173,150.8958334,2024-03-03,4.82,4.86,4.82,4.95,4.86,4.77,G,C,C,C
100419,P1000085,M128,-33.78071975708008,151.11386108398438,2024-02-15,4.9,4.76,4.83,4.83,4.93,4.9,G,C,C,C
100421,P1000016,M130,-33.8513269,151.0609753,2024-03-03,4.8,4.57,4.74,4.66,4.94,4.74,G,C,C,C
100422,P1000055,M102,-33.89055,151.27523,2024-02-26,5.0,4.0,5.0,5.0,5.0,5.0,G,C,C,C
100427,P1000033,M102,-33.89055,151.27523,2024-02-23,4.54,4.58,4.52,4.87,4.83,4.95,G,C,C,C
100428,P1000107,M109,-33.92552,151.25489,2024-03-03,4.81,4.73,4.77,4.96,4.92,4.92,G,C,C,C
100432,P1000349,M104,-33.864532,151.207611,2023-12-16,3.83,4.0,4.5,3.5,3.33,4.17,G,C,C,C
100434,P1000351,M104,-33.864532,151.207611,2024-02-07,4.38,4.45,4.48,4.76,4.86,4.86,G,C,C,C
100435,P1000352,M104,-33.864532,151.207611,2023-11-11,5.0,5.0,4.0,5.0,5.0,5.0,G,C,C,C
100441,P1000291,M110,-33.828972923308115,151.2163312332427,2024-02-26,4.0,4.0,5.0,5.0,5.0,5.0,G,C,C,C
100447,P1000363,M104,-33.864532,151.207611,2024-03-16,5.0,4.0,5.0,5.0,5.0,5.0,G,C,C,C
100452,P1000367,M104,-33.864532,151.207611,2024-02-16,3.5,3.5,4.67,4.25,4.5,4.75,G,C,C,C
100455,P1000370,M104,-33.864532,151.207611,2024-03-10,4.73,4.82,4.82,5.0,5.0,5.0,G,C,C,C
100456,P1000219,M104,-33.864532,151.207611,2024-02-28,3.67,3.67,3.0,3.0,3.67,4.33,G,C,C,C
100457,P1000009,M104,-33.864532,151.207611,2024-03-02,4.2,3.75,4.0,4.5,4.5,4.5,G,C,C,C
100460,P1000076,M109,-33.92552,151.25489,2024-01-27,4.75,4.75,5.0,5.0,4.5,4.75,G,C,C,C
100464,P1000076,M104,-33.864532,151.207611,2023-12-25,4.89,4.67,5.0,5.0,4.89,4.89,G,C,C,C
100466,P1000377,M120,-33.94157370178417,150.79405669122934,2024-03-09,4.63,4.67,4.31,4.88,4.75,4.5,G,C,C,C
100468,P1000073,M135,-33.87585,151.10469,2024-01-15,4.25,4.28,4.19,4.44,4.28,4.16,G,C,C,C
100469,P1000379,M134,-33.96857,151.12367,2024-02-16,4.88,4.71,4.88,4.94,4.88,4.71,G,C,C,C
100470,P1000380,M127,-33.8909571,151.1195413,2023-05-14,5.0,4.67,5.0,5.0,4.67,4.67,G,C,C,C
100472,P1000382,M104,-33.864532,151.207611,2024-02-28,4.84,4.82,4.77,4.93,4.96,4.95,G,C,C,C
100482,P1000390,M113,-33.8017879,151.1765299,2024-03-09,4.69,4.54,4.62,4.62,4.62,4.85,G,C,C,C
100483,P1000391,M113,-33.8017879,151.1765299,2024-03-17,4.78,4.75,4.63,4.75,4.88,4.88,G,C,C,C
100484,P1000392,M113,-33.8017879,151.1765299,2024-02-26,3.33,2.67,2.67,4.33,4.67,5.0,G,C,C,C
100486,P1000003,M110,-33.828972923308115,151.2163312332427,2024-02-03,5.0,4.75,5.0,5.0,5.0,4.75,G,C,C,C
100493,P1000002,M125,-33.80662,151.15517,2024-02-27,5.0,3.0,4.0,3.0,5.0,5.0,G,C,C,C
100497,P1000107,M104,-33.864532,151.207611,2024-03-13,4.83,4.78,4.56,4.89,4.89,4.72,G,C,C,C
100500,P1000404,M128,-33.78071975708008,151.11386108398438,2024-03-03,4.87,4.79,5.0,4.57,4.57,4.43,G,C,C,C
100503,P1000288,M104,-33.864532,151.207611,2024-02-18,4.62,4.55,4.4,4.9,4.9,4.91,G,C,C,C
100506,P1000073,M107,-33.75470594557184,151.1497291880052,2023-11-16,4.0,4.0,5.0,5.0,5.0,4.0,G,C,C,C
100507,P1000062,M108,-33.649899388892656,151.2796016585502,2024-01-08,5.0,4.75,4.92,5.0,4.92,5.0,G,C,C,C
100510,P1000332,M105,-33.79585,151.28527,2020-02-01,4.56,4.67,4.78,4.44,4.56,4.67,G,C,C,C
100512,P1000412,M104,-33.864532,151.207611,2024-03-01,4.73,4.68,4.64,4.84,4.8,4.96,G,C,C,C
100513,P1000113,M104,-33.864532,151.207611,2024-03-06,4.6,4.4,4.4,4.8,4.8,4.8,G,C,C,C
100517,P1000367,M104,-33.864532,151.207611,2024-02-28,4.33,4.0,4.0,4.5,4.33,4.17,G,C,C,C
100518,P1000416,M110,-33.828972923308115,151.2163312332427,2024-02-22,3.33,3.33,3.33,4.67,4.67,4.67,G,C,C,C
100522,P1000137,M118,-33.716291,151.1083268,2023-11-29,4.75,4.75,5.0,5.0,5.0,5.0,G,C,C,C
100524,P1000095,M109,-33.92552,151.25489,2022-05-11,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100525,P1000106,M137,-33.88098835077109,151.16864655312318,2024-03-08,4.42,4.08,4.42,4.92,4.75,4.75,G,C,C,C
100526,P1000107,M110,-33.828972923308115,151.2163312332427,2024-03-12,4.73,4.6,4.57,4.7,4.93,4.9,G,C,C,C
100530,P1000106,M104,-33.864532,151.207611,2023-09-09,4.69,4.54,4.31,4.92,4.77,5.0,G,C,C,C
100531,P1000424,M114,-33.91571,151.17268,2024-03-11,4.83,4.79,4.92,5.0,4.79,4.96,G,C,C,C
100532,P1000425,M110,-33.828972923308115,151.2163312332427,2024-03-07,5.0,5.0,5.0,4.83,5.0,4.83,G,C,C,C
100534,P1000308,M109,-33.92552,151.25489,2024-02-28,4.66,4.49,4.47,4.84,4.88,4.82,G,C,C,C
100536,P1000428,M110,-33.828972923308115,151.2163312332427,2024-03-04,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100538,P1000430,M110,-33.828972923308115,151.2163312332427,2024-01-23,4.76,4.71,4.82,4.65,4.82,5.0,G,C,C,C
100539,P1000096,M104,-33.864532,151.207611,2024-03-16,4.83,4.8,4.8,5.0,5.0,5.0,G,C,C,C
100544,P1000434,M104,-33.864532,151.207611,2024-03-11,4.92,4.68,4.92,4.92,4.88,4.92,G,C,C,C
100546,P1000074,M109,-33.92552,151.25489,2024-02-27,4.0,4.25,3.75,4.5,4.25,4.75,G,C,C,C
100550,P1000439,M104,-33.864532,151.207611,2022-11-06,3.8,3.6,3.2,4.0,4.2,4.2,G,C,C,C
100551,P1000440,M130,-33.8513269,151.0609753,2024-03-13,4.59,4.42,4.4,4.62,4.56,4.78,G,C,C,C
100560,P1000219,M104,-33.864532,151.207611,2024-02-24,5.0,5.0,5.0,4.0,5.0,5.0,G,C,C,C
100561,P1000349,M104,-33.864532,151.207611,2023-05-21,4.0,4.5,4.5,4.5,4.5,5.0,G,C,C,C
100567,P1000391,M110,-33.828972923308115,151.2163312332427,2024-03-16,4.56,4.37,4.58,4.82,4.71,4.89,G,C,C,C
100568,P1000076,M102,-33.89055,151.27523,2024-01-04,4.25,4.0,4.25,4.5,5.0,5.0,G,C,C,C
100569,P1000453,M110,-33.828972923308115,151.2163312332427,2024-03-11,4.69,4.54,4.64,4.9,4.79,4.69,G,C,C,C
100570,P1000107,M104,-33.864532,151.207611,2024-03-07,4.68,4.46,4.82,4.68,4.86,4.61,G,C,C,C
100572,P1000412,M104,-33.864532,151.207611,2024-02-26,4.67,4.54,4.7,4.89,4.88,4.79,G,C,C,C
100575,P1000002,M114,-33.91571,151.17268,2024-03-10,4.63,4.37,4.57,4.87,4.7,4.8,G,C,C,C
100577,P1000035,M104,-33.864532,151.207611,2023-10-02,4.17,4.17,4.17,3.83,4.33,4.5,G,C,C,C
100579,P1000076,M102,-33.89055,151.27523,2024-02-25,4.58,4.33,4.58,4.92,4.83,4.75,G,C,C,C
100580,P1000434,M104,-33.864532,151.207611,2024-03-04,4.75,4.83,4.82,4.93,4.9,4.82,G,C,C,C
100586,P1000017,M102,-33.89055,151.27523,2024-03-03,4.69,4.44,4.7,4.69,4.67,4.92,G,C,C,C
100588,P1000205,M109,-33.92552,151.25489,2024-01-05,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100590,P1000462,M104,-33.864532,151.207611,2024-02-26,4.96,4.81,4.92,4.92,4.92,4.92,G,C,C,C
100591,P1000002,M102,-33.89055,151.27523,2024-02-24,4.4,4.29,4.36,4.81,4.48,4.81,G,C,C,C
100592,P1000033,M114,-33.91571,151.17268,2024-02-22,4.59,4.34,4.19,4.79,4.79,4.95,G,C,C,C
100594,P1000464,M103,-33.82763,151.08623,2021-01-10,3.5,5.0,4.0,4.5,4.0,5.0,G,C,C,C
100598,P1000430,M104,-33.864532,151.207611,2024-02-06,4.24,4.22,4.34,4.47,4.32,4.81,G,C,C,C
100599,P1000288,M104,-33.864532,151.207611,2024-02-28,4.63,4.52,4.56,4.7,4.86,4.83,G,C,C,C
100601,P1000469,M109,-33.92552,151.25489,2024-03-02,4.21,4.23,4.29,4.5,4.5,4.71,G,C,C,C
100602,P1000288,M104,-33.864532,151.207611,2024-02-22,4.59,4.5,4.61,4.75,4.73,4.82,G,C,C,C
100605,P1000017,M119,-33.88101,151.22511,2023-08-18,4.26,4.33,4.44,4.56,4.52,4.85,G,C,C,C
100613,P1000477,M118,-33.716291,151.1083268,2024-03-01,4.52,4.57,4.61,4.78,4.74,4.57,G,C,C,C
100616,P1000332,M105,-33.79585,151.28527,2024-03-06,4.5,5.0,5.0,4.5,4.0,5.0,G,C,C,C
100626,P1000485,M130,-33.8513269,151.0609753,2023-09-17,4.5,4.5,4.5,4.5,4.5,5.0,G,C,C,C
100631,P1000490,M128,-33.78071975708008,151.11386108398438,2024-02-18,5.0,4.0,3.0,4.0,4.0,4.0,G,C,C,C
100632,P1000491,M129,-33.9279519,151.1552776,2024-03-01,4.73,4.77,4.69,4.8,4.86,4.79,G,C,C,C
100634,P1000129,M108,-33.649899388892656,151.2796016585502,2024-02-25,3.6,3.5,3.3,4.3,4.4,4.7,G,C,C,C
100645,P1000112,M133,-33.9410801,151.100121,2024-02-27,3.0,3.0,3.0,3.0,3.0,4.0,G,C,C,C
100647,P1000076,M104,-33.864532,151.207611,2024-02-29,4.75,4.75,4.83,3.5,4.83,5.0,G,C,C,C
100648,P1000501,M102,-33.89055,151.27523,2024-02-17,3.0,3.0,3.0,3.0,5.0,5.0,G,C,C,C
100649,P1000502,M104,-33.864532,151.207611,2024-02-15,5.0,5.0,5.0,4.75,5.0,5.0,G,C,C,C
100650,P1000503,M102,-33.89055,151.27523,2024-03-06,4.92,4.75,4.58,4.83,5.0,4.83,G,C,C,C
100651,P1000504,M118,-33.716291,151.1083268,2024-02-13,4.57,4.52,4.51,4.93,4.93,4.83,G,C,C,C
100652,P1000006,M113,-33.8017879,151.1765299,2024-03-03,4.5,4.67,5.0,4.67,5.0,4.67,G,C,C,C
100657,P1000508,M135,-33.87585,151.10469,2024-03-01,4.85,4.74,4.72,4.79,4.92,4.74,G,C,C,C
100659,P1000095,M104,-33.864532,151.207611,2024-02-26,5.0,5.0,5.0,5.0,5.0,5.0,G,C,C,C
100660,P1000510,M116,-33.79716,151.06479,2024-02-09,4.0,4.0,4.0,5.0,5.0,5.0,G,C,C,C
