serviceid,providerid,microcell,latitude,longitude,timestamp,speed,latency,bandwidth,coverage,reliability,security,currect_microcell,origin,true_label
108940,P1000076,M102,-33.89055,151.27523,2024-02-07,4.56,4.39,4.5,4.61,4.67,5.0,M102,G,C
108965,P1000424,M102,-33.89055,151.27523,2024-03-12,4.8,4.59,4.75,4.98,4.8,4.98,M102,G,C
109050,P1000076,M102,-33.89055,151.27523,2024-02-10,4.63,4.25,4.88,4.75,4.75,4.5,M102,G,C
109102,P1000002,M102,-33.89055,151.27523,2024-01-28,4.0,3.5,4.25,4.75,3.5,4.25,M102,G,C
109541,P1000076,M102,-33.89055,151.27523,2024-03-03,4.83,4.83,4.75,4.92,4.83,4.92,M102,G,C
109564,P1000002,M102,-33.89055,151.27523,2024-03-11,4.89,4.5,4.72,4.94,4.89,5.0,M102,G,C
109658,P1000033,M102,-33.89055,151.27523,2024-02-20,4.65,4.47,4.24,4.94,4.94,4.76,M102,G,C
110077,P1000033,M102,-33.89055,151.27523,2024-02-23,4.46,4.28,4.35,4.74,4.83,4.83,M102,G,C
110264,P1001308,M102,-33.89055,151.27523,2024-03-12,4.8,4.6,4.9,4.6,4.7,5.0,M102,G,C
110266,P1000002,M102,-33.89055,151.27523,2023-03-04,4.67,4.78,5.0,5.0,4.67,5.0,M102,G,C
110279,P1000033,M102,-33.89055,151.27523,2024-02-25,4.86,4.43,5.0,4.86,4.71,4.86,M102,G,C
110495,P1000684,M102,-33.89055,151.27523,2024-02-27,5.0,4.17,4.83,5.0,5.0,5.0,M102,G,C
110848,P1000076,M102,-33.89055,151.27523,2024-02-27,4.69,4.75,4.69,4.5,4.63,5.0,M102,G,C
110933,P1000076,M102,-33.89055,151.27523,2024-03-10,4.44,4.25,4.44,4.94,4.38,5.0,M102,G,C
111503,P1000424,M102,-33.89055,151.27523,2024-03-10,5.0,4.5,4.5,5.0,5.0,5.0,M102,G,C
111515,P1000076,M102,-33.89055,151.27523,2024-02-23,4.8,4.48,4.68,4.71,4.64,4.88,M102,G,C
111532,P1000076,M102,-33.89055,151.27523,2024-03-03,4.67,4.4,4.93,4.2,4.27,4.6,M102,G,C
111610,P1000033,M102,-33.89055,151.27523,2024-02-22,4.57,4.53,4.62,4.74,4.81,4.98,M102,G,C
111654,P1000002,M102,-33.89055,151.27523,2023-08-06,4.13,4.06,4.13,3.69,4.19,4.44,M102,G,C
111690,P1001308,M102,-33.89055,151.27523,2024-03-03,4.57,4.5,4.47,4.78,4.72,4.93,M102,G,C
111719,P1000076,M102,-33.89055,151.27523,2024-01-28,4.33,4.0,4.67,4.0,4.33,5.0,M102,G,C
111966,P1000076,M102,-33.89055,151.27523,2023-11-27,5.0,0.0,0.0,0.0,0.0,0.0,M102,G,C
112523,P1000112,M102,-33.89055,151.27523,2023-08-24,4.0,4.0,5.0,5.0,5.0,5.0,M102,G,C
115419,P1000424,M102,-33.89055,151.27523,2023-03-05,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
116223,P1000424,M102,-33.89055,151.27523,2023-12-02,4.88,4.69,4.94,4.97,4.84,5.0,M102,G,C
117007,P1000424,M102,-33.89055,151.27523,2023-12-01,4.63,4.52,4.64,4.85,4.8,4.8,M102,G,C
117258,P1000424,M102,-33.89055,151.27523,2023-11-26,4.7,4.61,4.85,4.8,4.8,4.83,M102,G,C
117384,P1001181,M102,-33.89055,151.27523,2023-12-01,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
117390,P1000351,M102,-33.89055,151.27523,2023-12-04,4.58,4.29,4.42,4.45,4.84,4.97,M102,G,C
117536,P1000351,M102,-33.89055,151.27523,2023-12-03,4.62,4.24,4.56,4.38,4.79,4.91,M102,G,C
118146,P1000351,M102,-33.89055,151.27523,2023-10-19,4.6,4.1,4.2,4.9,5.0,5.0,M102,G,C
118191,P1000351,M102,-33.89055,151.27523,2023-02-16,4.68,4.05,4.11,4.89,4.68,4.84,M102,G,C
118287,P1000569,M102,-33.89055,151.27523,2023-12-10,4.57,4.57,4.57,4.95,4.81,5.0,M102,G,C
118290,P1000198,M102,-33.89055,151.27523,2023-11-28,4.4,4.47,4.0,4.67,4.53,4.6,M102,G,C
118513,P1000351,M102,-33.89055,151.27523,2023-12-06,4.69,4.69,4.71,4.93,4.88,4.83,M102,G,C
118575,P1000351,M102,-33.89055,151.27523,2023-06-25,4.68,4.64,4.54,4.86,4.87,4.97,M102,G,C
118978,P1000198,M102,-33.89055,151.27523,2023-11-29,4.67,4.6,4.61,4.77,4.83,4.8,M102,G,C
119063,P1000351,M102,-33.89055,151.27523,2023-12-06,4.54,4.47,4.43,4.91,4.87,5.0,M102,G,C
119192,P1001181,M102,-33.89055,151.27523,2023-11-30,3.8,4.0,4.4,4.4,4.6,4.4,M102,G,C
119312,P1000198,M102,-33.89055,151.27523,2023-09-02,4.5,4.5,4.2,4.8,4.65,4.75,M102,G,C
119485,P1001181,M102,-33.89055,151.27523,2023-12-04,4.46,3.77,4.38,4.54,4.62,4.85,M102,G,C
119513,P1000351,M102,-33.89055,151.27523,2023-11-30,4.79,4.79,4.79,4.86,4.93,5.0,M102,G,C
120672,P1000077,M102,-33.89055,151.27523,2023-11-26,4.5,4.5,4.5,4.5,5.0,4.5,M102,G,C
121107,P1000077,M102,-33.89055,151.27523,2023-12-01,4.85,4.5,4.8,4.95,4.75,4.9,M102,G,C
125830,P1000002,M102,-33.89055,151.27523,2023-03-04,4.67,4.78,5.0,5.0,4.67,5.0,M102,G,C
126171,P1000074,M102,-33.89055,151.27523,2023-07-17,4.0,3.0,2.5,3.0,5.0,5.0,M102,G,C
126372,P1001308,M102,-33.89055,151.27523,2023-11-30,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
126884,P1000076,M102,-33.89055,151.27523,2023-12-02,5.0,4.71,4.86,5.0,5.0,5.0,M102,G,C
127124,P1000035,M102,-33.89055,151.27523,2023-12-03,4.88,4.68,4.92,4.72,4.88,4.84,M102,G,C
127144,P1000035,M102,-33.89055,151.27523,2023-11-21,4.46,4.49,4.76,4.76,4.49,4.86,M102,G,C
128218,P1000684,M102,-33.89055,151.27523,2023-12-06,4.7,4.62,4.66,4.88,4.93,4.95,M102,G,C
128313,P1000076,M102,-33.89055,151.27523,2023-11-07,4.61,4.42,4.42,4.75,4.67,4.97,M102,G,C
128419,P1000076,M102,-33.89055,151.27523,2023-11-26,4.71,4.57,5.0,5.0,4.86,5.0,M102,G,C
128566,P1000002,M102,-33.89055,151.27523,2023-11-02,4.46,4.37,4.4,4.84,4.53,4.86,M102,G,C
128570,P1000002,M102,-33.89055,151.27523,2023-10-31,4.35,4.16,4.3,4.63,4.37,4.83,M102,G,C
128595,P1000002,M102,-33.89055,151.27523,2023-10-29,4.33,3.33,4.67,5.0,4.67,4.83,M102,G,C
128599,P1000033,M102,-33.89055,151.27523,2023-10-05,4.46,4.36,4.2,4.96,4.88,4.92,M102,G,C
128600,P1000002,M102,-33.89055,151.27523,2023-10-16,4.38,4.25,4.38,4.5,4.56,4.75,M102,G,C
128620,P1000076,M102,-33.89055,151.27523,2023-11-10,4.0,4.0,5.0,3.0,5.0,5.0,M102,G,C
128637,P1000076,M102,-33.89055,151.27523,2023-11-17,4.5,4.31,4.44,4.56,4.63,5.0,M102,G,C
128680,P1000033,M102,-33.89055,151.27523,2023-11-17,5.0,4.67,4.67,5.0,5.0,5.0,M102,G,C
128690,P1000076,M102,-33.89055,151.27523,2023-04-06,4.58,4.67,4.58,4.33,4.5,5.0,M102,G,C
128721,P1000076,M102,-33.89055,151.27523,2023-01-02,4.0,4.0,4.0,3.0,3.0,5.0,M102,G,C
128728,P1000076,M102,-33.89055,151.27523,2023-10-03,4.4,4.2,4.4,4.8,4.6,4.6,M102,G,C
128730,P1000076,M102,-33.89055,151.27523,2022-09-06,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
128734,P1000684,M102,-33.89055,151.27523,2023-11-19,5.0,5.0,4.0,5.0,5.0,5.0,M102,G,C
128738,P1000076,M102,-33.89055,151.27523,2023-11-16,4.67,4.42,4.92,4.17,4.17,4.58,M102,G,C
128741,P1000033,M102,-33.89055,151.27523,2023-11-02,4.42,4.26,4.37,4.76,4.82,4.84,M102,G,C
128742,P1000002,M102,-33.89055,151.27523,2023-11-18,4.33,3.67,4.33,4.67,3.33,4.33,M102,G,C
128794,P1000076,M102,-33.89055,151.27523,2023-06-13,4.77,4.46,4.77,5.0,4.85,4.92,M102,G,C
128798,P1000033,M102,-33.89055,151.27523,2023-11-27,4.82,4.45,4.36,5.0,5.0,4.73,M102,G,C
128812,P1000076,M102,-33.89055,151.27523,2023-12-07,4.71,4.71,4.57,5.0,4.86,4.86,M102,G,C
128813,P1000076,M102,-33.89055,151.27523,2023-10-16,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
128919,P1000002,M102,-33.89055,151.27523,2023-02-25,3.75,3.33,3.75,4.67,3.58,4.67,M102,G,C
128937,P1000076,M102,-33.89055,151.27523,2023-09-11,4.31,4.0,4.38,4.92,4.46,4.85,M102,G,C
128991,P1000033,M102,-33.89055,151.27523,2023-11-16,4.79,4.71,4.5,4.71,4.86,5.0,M102,G,C
129038,P1000002,M102,-33.89055,151.27523,2023-05-29,3.67,3.67,4.67,5.0,4.0,4.67,M102,G,C
129098,P1000076,M102,-33.89055,151.27523,2023-04-06,4.6,4.45,4.7,4.7,4.6,4.95,M102,G,C
129105,P1000002,M102,-33.89055,151.27523,2023-08-06,4.13,4.06,4.13,3.69,4.19,4.44,M102,G,C
129108,P1000002,M102,-33.89055,151.27523,2023-02-19,4.0,4.29,4.18,3.71,3.94,4.94,M102,G,C
129124,P1000002,M102,-33.89055,151.27523,2023-07-17,4.62,4.38,4.46,4.85,4.62,4.92,M102,G,C
129157,P1000076,M102,-33.89055,151.27523,2023-07-21,5.0,5.0,5.0,5.0,4.5,5.0,M102,G,C
129176,P1000033,M102,-33.89055,151.27523,2023-12-10,4.76,4.24,4.59,4.82,4.76,4.71,M102,G,C
129699,P1000002,M102,-33.89055,151.27523,2023-11-26,4.85,4.54,4.77,4.92,4.77,4.92,M102,G,C
129711,P1000076,M102,-33.89055,151.27523,2023-09-29,4.79,4.58,4.68,4.61,4.74,4.84,M102,G,C
129719,P1000002,M102,-33.89055,151.27523,2023-06-05,4.14,4.16,3.62,4.49,4.24,4.78,M102,G,C
129725,P1000076,M102,-33.89055,151.27523,2023-11-27,4.33,4.0,4.5,4.83,4.83,4.5,M102,G,C
129732,P1000076,M102,-33.89055,151.27523,2023-10-06,4.6,4.4,4.4,4.8,5.0,5.0,M102,G,C
129736,P1000033,M102,-33.89055,151.27523,2023-11-11,4.58,4.58,4.6,4.72,4.79,4.98,M102,G,C
129748,P1000076,M102,-33.89055,151.27523,2023-11-15,4.62,4.15,4.92,4.92,4.77,4.69,M102,G,C
129750,P1000002,M102,-33.89055,151.27523,2023-04-11,4.21,4.13,4.26,4.78,4.4,4.61,M102,G,C
129772,P1000033,M102,-33.89055,151.27523,2023-11-24,4.75,4.25,5.0,4.75,4.5,4.75,M102,G,C
129790,P1000076,M102,-33.89055,151.27523,2023-01-04,4.67,4.33,4.33,5.0,5.0,5.0,M102,G,C
129792,P1000076,M102,-33.89055,151.27523,2023-11-24,5.0,4.0,3.0,5.0,5.0,3.0,M102,G,C
129793,P1000076,M102,-33.89055,151.27523,2023-11-01,4.0,3.5,4.0,4.0,5.0,5.0,M102,G,C
129817,P1000002,M102,-33.89055,151.27523,2023-10-26,4.86,4.64,4.71,4.93,4.86,5.0,M102,G,C
129855,P1000076,M102,-33.89055,151.27523,2023-12-07,5.0,4.67,5.0,5.0,5.0,5.0,M102,G,C
129865,P1000684,M102,-33.89055,151.27523,2023-11-03,4.0,5.0,5.0,2.0,4.0,5.0,M102,G,C
129870,P1000002,M102,-33.89055,151.27523,2023-10-16,4.56,4.32,4.32,4.8,4.44,4.88,M102,G,C
129901,P1000076,M102,-33.89055,151.27523,2023-08-10,4.42,4.25,4.42,4.92,4.42,5.0,M102,G,C
129970,P1000033,M102,-33.89055,151.27523,2023-11-21,4.51,4.51,4.54,4.86,4.78,5.0,M102,G,C
130056,P1001308,M102,-33.89055,151.27523,2023-12-06,4.56,4.47,4.47,4.77,4.71,4.95,M102,G,C
130092,P1000033,M102,-33.89055,151.27523,2023-11-19,4.55,4.62,4.56,4.86,4.81,4.94,M102,G,C
130170,P1000033,M102,-33.89055,151.27523,2023-08-05,4.55,4.62,4.57,4.86,4.81,4.96,M102,G,C
130689,P1000076,M102,-33.89055,151.27523,2016-09-26,4.75,4.63,4.83,4.75,4.42,4.88,M102,G,C
130792,P1000076,M102,-33.89055,151.27523,2022-01-01,4.25,4.25,3.75,4.5,4.5,5.0,M102,G,C
133531,P1000033,M102,-33.89055,151.27523,2023-02-16,4.69,4.51,4.56,4.89,4.87,4.91,M102,G,C
136255,P1000076,M102,-33.89055,151.27523,2021-01-16,4.72,4.81,4.75,4.94,4.72,4.97,M102,G,C
137025,P1000002,M102,-33.89055,151.27523,2023-04-11,4.21,4.13,4.26,4.78,4.4,4.61,M102,G,C
137599,P1000002,M102,-33.89055,151.27523,2023-06-05,4.14,4.16,3.62,4.49,4.24,4.78,M102,G,C
138031,P1000002,M102,-33.89055,151.27523,2023-07-06,4.45,4.38,4.41,4.84,4.54,4.86,M102,G,C
138538,P1000351,M102,-33.89055,151.27523,2023-02-16,4.68,4.05,4.11,4.89,4.68,4.84,M102,G,C
138590,P1000074,M102,-33.89055,151.27523,2023-07-17,4.0,3.0,2.5,3.0,5.0,5.0,M102,G,C
139054,P1001308,M102,-33.89055,151.27523,2023-08-29,4.55,4.51,4.47,4.82,4.72,4.99,M102,G,C
139314,P1000198,M102,-33.89055,151.27523,2023-08-20,4.76,4.66,4.7,4.85,4.88,4.84,M102,G,C
139501,P1000002,M102,-33.89055,151.27523,2023-06-12,4.13,4.04,4.11,4.77,4.41,4.89,M102,G,C
139604,P1000351,M102,-33.89055,151.27523,2023-08-17,4.54,4.51,4.48,4.9,4.86,5.0,M102,G,C
139765,P1000076,M102,-33.89055,151.27523,2020-01-01,5.0,3.0,1.0,5.0,5.0,5.0,M102,G,C
139948,P1000076,M102,-33.89055,151.27523,2023-05-12,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
140212,P1000076,M102,-33.89055,151.27523,2023-08-27,4.76,4.53,4.65,4.56,4.71,4.82,M102,G,C
141011,P1000076,M102,-33.89055,151.27523,2023-06-12,4.62,4.44,4.41,4.74,4.65,4.97,M102,G,C
141124,P1000076,M102,-33.89055,151.27523,2022-01-21,3.5,3.5,3.0,4.5,3.5,4.5,M102,G,C
141330,P1000076,M102,-33.89055,151.27523,2021-04-09,5.0,5.0,4.0,5.0,5.0,5.0,M102,G,C
141372,P1000076,M102,-33.89055,151.27523,2022-11-28,4.33,4.5,4.17,4.67,4.17,5.0,M102,G,C
141574,P1000076,M102,-33.89055,151.27523,2023-07-23,4.42,4.25,4.42,4.42,4.5,5.0,M102,G,C
141685,P1000002,M102,-33.89055,151.27523,2023-07-24,4.55,4.32,4.27,4.77,4.41,4.86,M102,G,C
141717,P1000002,M102,-33.89055,151.27523,2023-02-25,3.75,3.33,3.75,4.67,3.58,4.67,M102,G,C
141767,P1000033,M102,-33.89055,151.27523,2023-08-19,4.44,4.33,4.19,4.96,4.88,4.92,M102,G,C
141823,P1000076,M102,-33.89055,151.27523,2023-04-06,4.58,4.67,4.58,4.33,4.5,5.0,M102,G,C
142018,P1000076,M102,-33.89055,151.27523,2023-01-04,4.67,4.33,4.33,5.0,5.0,5.0,M102,G,C
142127,P1000076,M102,-33.89055,151.27523,2022-01-11,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
142287,P1000033,M102,-33.89055,151.27523,2023-07-26,4.47,4.33,4.44,4.86,4.92,4.86,M102,G,C
142483,P1000076,M102,-33.89055,151.27523,2023-06-13,4.77,4.46,4.77,5.0,4.85,4.92,M102,G,C
142491,P1000076,M102,-33.89055,151.27523,2022-12-28,4.25,4.0,4.25,4.75,4.5,4.5,M102,G,C
142698,P1000033,M102,-33.89055,151.27523,2023-07-16,4.69,4.67,4.72,4.75,4.83,4.97,M102,G,C
142922,P1000076,M102,-33.89055,151.27523,2023-04-06,4.6,4.45,4.7,4.7,4.6,4.95,M102,G,C
142943,P1000076,M102,-33.89055,151.27523,2022-06-14,4.0,3.0,2.0,4.0,5.0,4.0,M102,G,C
143092,P1000076,M102,-33.89055,151.27523,2023-07-21,5.0,5.0,5.0,5.0,4.5,5.0,M102,G,C
143120,P1000076,M102,-33.89055,151.27523,2022-09-06,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
143188,P1000002,M102,-33.89055,151.27523,2023-02-19,4.0,4.29,4.18,3.71,3.94,4.94,M102,G,C
143228,P1000351,M102,-33.89055,151.27523,2023-08-20,4.56,4.11,4.22,4.89,5.0,5.0,M102,G,C
143268,P1000076,M102,-33.89055,151.27523,2023-01-02,4.0,4.0,4.0,3.0,3.0,5.0,M102,G,C
143383,P1000076,M102,-33.89055,151.27523,2023-08-10,4.42,4.25,4.42,4.92,4.42,5.0,M102,G,C
143406,P1000198,M102,-33.89055,151.27523,2023-09-02,4.5,4.5,4.2,4.8,4.65,4.75,M102,G,C
143413,P1000076,M102,-33.89055,151.27523,2023-01-14,4.0,4.0,5.0,5.0,5.0,4.0,M102,G,C
143539,P1000684,M102,-33.89055,151.27523,2023-08-31,4.69,4.59,4.67,4.87,4.92,4.95,M102,G,C
143645,P1000002,M102,-33.89055,151.27523,2023-04-10,4.36,4.09,4.36,4.73,4.64,4.64,M102,G,C
143742,P1000424,M102,-33.89055,151.27523,2023-09-02,4.71,4.58,4.84,4.76,4.76,4.82,M102,G,C
143744,P1000684,M102,-33.89055,151.27523,2023-08-26,4.48,4.32,4.55,4.61,4.71,4.77,M102,G,C
143812,P1000033,M102,-33.89055,151.27523,2023-08-11,4.45,4.41,4.52,4.86,4.72,5.0,M102,G,C
144033,P1000002,M102,-33.89055,151.27523,2023-07-17,4.62,4.38,4.46,4.85,4.62,4.92,M102,G,C
144063,P1000351,M102,-33.89055,151.27523,2023-08-27,4.71,4.33,4.67,4.29,4.79,4.92,M102,G,C
144085,P1000002,M102,-33.89055,151.27523,2023-03-04,4.67,4.78,5.0,5.0,4.67,5.0,M102,G,C
144161,P1000076,M102,-33.89055,151.27523,2023-08-26,4.42,4.17,4.5,4.92,4.5,4.83,M102,G,C
144298,P1000424,M102,-33.89055,151.27523,2023-03-05,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
144325,P1000035,M102,-33.89055,151.27523,2023-08-06,4.88,4.67,4.92,4.71,4.88,4.83,M102,G,C
144647,P1000002,M102,-33.89055,151.27523,2023-01-01,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
144682,P1000076,M102,-33.89055,151.27523,2023-07-01,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
144683,P1000351,M102,-33.89055,151.27523,2023-08-30,4.71,4.71,4.83,5.0,4.96,4.92,M102,G,C
144735,P1000076,M102,-33.89055,151.27523,2023-01-31,4.33,4.33,4.33,4.67,5.0,5.0,M102,G,C
144819,P1000076,M102,-33.89055,151.27523,2023-08-15,4.78,4.56,4.89,4.33,4.33,4.67,M102,G,C
144892,P1000351,M102,-33.89055,151.27523,2023-06-06,4.4,3.8,4.2,4.8,4.8,4.8,M102,G,C
145015,P1000424,M102,-33.89055,151.27523,2023-07-31,4.64,4.58,4.74,4.92,4.86,4.81,M102,G,C
145094,P1000035,M102,-33.89055,151.27523,2023-08-20,4.46,4.42,4.83,4.71,4.33,4.88,M102,G,C
145096,P1000002,M102,-33.89055,151.27523,2023-08-07,4.89,4.56,4.67,5.0,4.89,5.0,M102,G,C
145200,P1000351,M102,-33.89055,151.27523,2023-08-23,4.63,4.19,4.63,4.63,4.69,5.0,M102,G,C
145359,P1000002,M102,-33.89055,151.27523,2023-09-04,4.9,4.6,4.9,5.0,4.9,5.0,M102,G,C
145483,P1000424,M102,-33.89055,151.27523,2023-08-27,4.95,4.75,4.95,5.0,4.9,5.0,M102,G,C
145552,P1000076,M102,-33.89055,151.27523,2023-07-23,4.5,4.2,4.9,4.9,4.7,4.6,M102,G,C
145570,P1000076,M102,-33.89055,151.27523,2023-07-23,4.33,4.0,5.0,5.0,4.67,5.0,M102,G,C
145575,P1000351,M102,-33.89055,151.27523,2023-06-28,5.0,4.67,5.0,5.0,5.0,5.0,M102,G,C
145604,P1000198,M102,-33.89055,151.27523,2023-08-27,4.0,3.75,3.5,4.25,4.0,4.0,M102,G,C
145732,P1000002,M102,-33.89055,151.27523,2023-05-29,3.67,3.67,4.67,5.0,4.0,4.67,M102,G,C
145737,P1000002,M102,-33.89055,151.27523,2023-07-09,5.0,4.0,4.0,5.0,5.0,5.0,M102,G,C
145973,P1000077,M102,-33.89055,151.27523,2023-07-26,5.0,4.71,5.0,5.0,5.0,5.0,M102,G,C
146092,P1000033,M102,-33.89055,151.27523,2023-08-14,4.67,4.11,4.33,4.89,4.67,4.67,M102,G,C
146308,P1000198,M102,-33.89055,151.27523,2023-08-25,4.33,4.44,3.67,4.67,4.44,4.67,M102,G,C
146607,P1000076,M102,-33.89055,151.27523,2023-08-14,4.25,4.0,4.25,4.75,4.75,4.25,M102,G,C
146657,P1000351,M102,-33.89055,151.27523,2023-08-19,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
146688,P1000076,M102,-33.89055,151.27523,2023-07-03,5.0,5.0,5.0,5.0,5.0,5.0,M102,G,C
146786,P1000076,M102,-33.89055,151.27523,2023-08-18,4.5,5.0,4.0,5.0,4.5,4.5,M102,G,C
147242,P1000002,M102,-33.89055,151.27523,2023-08-28,3.75,4.0,4.75,4.5,3.5,4.75,M102,G,C
