,serviceid,providerid,timestamp,microcell,latitude,longitude,speed,throughput,bandwidth,coverage,reliability,security,latency,currect_microcell
94,100277,P1000219,2024-02-26,M130,-33.8513269,151.0609753,5.0,5.0,5.0,4.0,4.5,5.0,5.0,M130
95,100284,P1000016,2023-04-14,M130,-33.8513269,151.0609753,4.67,4.78,4.78,4.89,4.89,4.89,4.78,M130
96,100285,P1000243,2024-03-16,M102,-33.89055,151.27523,4.97,4.99,4.96,4.88,5.0,5.0,4.91,M102
97,100303,P1000260,2022-08-04,M119,-33.88101,151.22511,4.64,4.66,4.7,4.96,4.99,4.89,4.75,M119
98,100304,P1000261,2024-03-07,M106,-33.73635045169837,150.71367952034564,4.65,4.65,4.76,4.82,4.76,4.47,4.65,M106
99,100306,P1000077,2024-02-26,M135,-33.87585,151.10469,4.67,5.0,4.5,4.67,5.0,4.83,4.83,M135
100,100314,P1000076,2024-03-05,M131,-33.8388,151.23511,4.39,4.54,4.35,4.68,4.58,4.93,4.41,M131
101,100315,P1000270,2024-01-09,M115,-33.75122,151.25772,4.75,4.5,4.75,4.75,4.75,4.63,4.5,M115
102,100316,P1000017,2024-01-11,M119,-33.88101,151.22511,4.4,4.54,4.22,4.73,4.76,4.71,4.4,M119
103,100320,P1000273,2023-10-01,M122,-33.72719,151.00848,4.57,4.71,4.71,4.57,4.86,4.86,4.71,M122
104,100324,P1000049,2024-01-02,M104,-33.864532,151.207611,4.19,4.44,4.19,4.5,4.63,4.69,4.0,M104
105,100339,P1000288,2024-02-12,M104,-33.864532,151.207611,4.64,4.91,4.64,4.64,4.73,4.91,4.36,M104
106,100341,P1000055,2024-03-07,M102,-33.89055,151.27523,4.85,4.85,5.0,4.9,4.85,4.9,4.8,M102
107,100343,P1000291,2024-02-25,M104,-33.864532,151.207611,5.0,5.0,5.0,4.25,5.0,5.0,5.0,M104
108,100347,P1000193,2024-02-14,M119,-33.88101,151.22511,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M119
109,100348,P1000055,2023-09-22,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M102
110,100349,P1000009,2024-01-01,M127,-33.8909571,151.1195413,4.0,4.17,3.83,4.33,4.33,5.0,3.5,M127
111,100359,P1000107,2024-01-12,M129,-33.9279519,151.1552776,4.83,4.83,4.83,5.0,5.0,4.75,4.83,M129
112,100367,P1000076,2024-03-03,M119,-33.88101,151.22511,5.0,5.0,4.92,4.77,4.85,4.92,4.77,M119
113,100369,P1000308,2024-03-05,M119,-33.88101,151.22511,4.57,4.57,4.38,4.95,4.95,4.95,4.43,M119
114,100371,P1000035,2024-02-10,M104,-33.864532,151.207611,4.25,4.75,4.88,4.88,4.88,4.88,4.43,M104
115,100375,P1000003,2024-03-11,M104,-33.864532,151.207611,4.78,4.87,4.78,4.78,4.7,5.0,4.48,M104
116,100376,P1000055,2024-03-02,M104,-33.864532,151.207611,4.71,4.81,4.68,4.86,4.83,4.94,4.62,M104
117,100377,P1000003,2023-06-25,M104,-33.864532,151.207611,4.56,4.88,4.75,4.75,4.56,5.0,4.56,M104
118,100379,P1000095,2024-02-26,M104,-33.864532,151.207611,4.74,4.65,4.48,4.9,4.77,4.9,4.45,M104
119,100380,P1000076,2024-02-26,M104,-33.864532,151.207611,4.36,4.14,4.64,4.43,4.57,4.43,3.86,M104
120,100381,P1000314,2024-02-25,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,4.5,M102
121,100382,P1000107,2024-03-02,M104,-33.864532,151.207611,4.88,4.75,4.38,5.0,5.0,5.0,4.38,M104
122,100384,P1000316,2024-03-02,M104,-33.864532,151.207611,4.9,4.95,4.78,4.97,4.98,4.94,4.83,M104
123,100385,P1000003,2020-10-04,M104,-33.864532,151.207611,5.0,4.67,4.33,4.67,5.0,5.0,4.67,M104
124,100388,P1000273,2024-02-11,M130,-33.8513269,151.0609753,4.0,4.0,3.5,5.0,5.0,5.0,4.0,M130
125,100390,P1000017,2024-03-15,M102,-33.89055,151.27523,4.8,4.8,4.6,5.0,4.8,5.0,4.2,M102
126,100394,P1000323,2024-03-02,M104,-33.864532,151.207611,4.82,4.8,4.8,4.8,4.9,4.9,4.7,M104
127,100396,P1000205,2024-03-05,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M102
128,100399,P1000327,2024-03-14,M136,-33.86999,151.08825,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M136
129,100400,P1000328,2024-03-03,M110,-33.828972923308115,151.2163312332427,4.75,5.0,5.0,5.0,5.0,3.33,4.67,M110
130,100402,P1000089,2024-03-03,M115,-33.75122,151.25772,5.0,5.0,5.0,5.0,5.0,4.84,4.95,M115
131,100405,P1000332,2023-08-19,M105,-33.79585,151.28527,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M105
132,100408,P1000335,2024-03-03,M123,-33.6860173,150.8958334,4.82,4.91,4.82,4.95,4.86,4.77,4.86,M123
133,100419,P1000085,2024-02-15,M128,-33.78071975708008,151.11386108398438,4.9,4.9,4.83,4.83,4.93,4.9,4.76,M128
134,100421,P1000016,2024-03-03,M130,-33.8513269,151.0609753,4.8,4.83,4.74,4.66,4.94,4.74,4.57,M130
135,100422,P1000055,2024-02-26,M102,-33.89055,151.27523,5.0,5.0,5.0,5.0,5.0,5.0,4.0,M102
136,100427,P1000033,2024-02-23,M102,-33.89055,151.27523,4.54,4.6,4.52,4.87,4.83,4.95,4.58,M102
137,100428,P1000107,2024-03-03,M109,-33.92552,151.25489,4.81,4.92,4.77,4.96,4.92,4.92,4.73,M109
138,100432,P1000349,2023-12-16,M104,-33.864532,151.207611,3.83,4.17,4.5,3.5,3.33,4.17,4.0,M104
139,100434,P1000351,2024-02-07,M104,-33.864532,151.207611,4.38,4.55,4.48,4.76,4.86,4.86,4.45,M104
140,100435,P1000352,2023-11-11,M104,-33.864532,151.207611,5.0,5.0,4.0,5.0,5.0,5.0,5.0,M104
141,100441,P1000291,2024-02-26,M110,-33.828972923308115,151.2163312332427,4.0,5.0,5.0,5.0,5.0,5.0,4.0,M110
142,100447,P1000363,2024-03-16,M104,-33.864532,151.207611,5.0,5.0,5.0,5.0,5.0,5.0,4.0,M104
143,100452,P1000367,2024-02-16,M104,-33.864532,151.207611,3.5,3.75,4.67,4.25,4.5,4.75,3.5,M104
144,100455,P1000370,2024-03-10,M104,-33.864532,151.207611,4.73,4.91,4.82,5.0,5.0,5.0,4.82,M104
145,100456,P1000219,2024-02-28,M104,-33.864532,151.207611,3.67,3.0,3.0,3.0,3.67,4.33,3.67,M104
146,100457,P1000009,2024-03-02,M104,-33.864532,151.207611,4.2,4.0,4.0,4.5,4.5,4.5,3.75,M104
147,100460,P1000076,2024-01-27,M109,-33.92552,151.25489,4.75,4.75,5.0,5.0,4.5,4.75,4.75,M109
148,100464,P1000076,2023-12-25,M104,-33.864532,151.207611,4.89,5.0,5.0,5.0,4.89,4.89,4.67,M104
149,100466,P1000377,2024-03-09,M120,-33.94157370178417,150.79405669122934,4.63,4.75,4.31,4.88,4.75,4.5,4.67,M120
150,100468,P1000073,2024-01-15,M135,-33.87585,151.10469,4.25,4.25,4.19,4.44,4.28,4.16,4.28,M135
151,100469,P1000379,2024-02-16,M134,-33.96857,151.12367,4.88,4.82,4.88,4.94,4.88,4.71,4.71,M134
152,100470,P1000380,2023-05-14,M127,-33.8909571,151.1195413,5.0,4.67,5.0,5.0,4.67,4.67,4.67,M127
153,100472,P1000382,2024-02-28,M104,-33.864532,151.207611,4.84,4.89,4.77,4.93,4.96,4.95,4.82,M104
154,100482,P1000390,2024-03-09,M113,-33.8017879,151.1765299,4.69,4.46,4.62,4.62,4.62,4.85,4.54,M113
155,100483,P1000391,2024-03-17,M113,-33.8017879,151.1765299,4.78,4.75,4.63,4.75,4.88,4.88,4.75,M113
156,100484,P1000392,2024-02-26,M113,-33.8017879,151.1765299,3.33,3.33,2.67,4.33,4.67,5.0,2.67,M113
157,100486,P1000003,2024-02-03,M110,-33.828972923308115,151.2163312332427,5.0,5.0,5.0,5.0,5.0,4.75,4.75,M110
158,100493,P1000002,2024-02-27,M125,-33.80662,151.15517,5.0,5.0,4.0,3.0,5.0,5.0,3.0,M125
159,100497,P1000107,2024-03-13,M104,-33.864532,151.207611,4.83,4.83,4.56,4.89,4.89,4.72,4.78,M104
160,100500,P1000404,2024-03-03,M128,-33.78071975708008,151.11386108398438,4.87,4.79,5.0,4.57,4.57,4.43,4.79,M128
161,100503,P1000288,2024-02-18,M104,-33.864532,151.207611,4.62,4.6,4.4,4.9,4.9,4.91,4.55,M104
162,100506,P1000073,2023-11-16,M107,-33.75470594557184,151.1497291880052,4.0,5.0,5.0,5.0,5.0,4.0,4.0,M107
163,100507,P1000062,2024-01-08,M108,-33.649899388892656,151.2796016585502,5.0,4.83,4.92,5.0,4.92,5.0,4.75,M108
164,100510,P1000332,2020-02-01,M105,-33.79585,151.28527,4.56,4.33,4.78,4.44,4.56,4.67,4.67,M105
165,100512,P1000412,2024-03-01,M104,-33.864532,151.207611,4.73,4.84,4.64,4.84,4.8,4.96,4.68,M104
166,100513,P1000113,2024-03-06,M104,-33.864532,151.207611,4.6,4.6,4.4,4.8,4.8,4.8,4.4,M104
167,100517,P1000367,2024-02-28,M104,-33.864532,151.207611,4.33,4.17,4.0,4.5,4.33,4.17,4.0,M104
168,100518,P1000416,2024-02-22,M110,-33.828972923308115,151.2163312332427,3.33,3.67,3.33,4.67,4.67,4.67,3.33,M110
169,100522,P1000137,2023-11-29,M118,-33.716291,151.1083268,4.75,5.0,5.0,5.0,5.0,5.0,4.75,M118
170,100524,P1000095,2022-05-11,M109,-33.92552,151.25489,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M109
171,100525,P1000106,2024-03-08,M137,-33.88098835077109,151.16864655312318,4.42,4.33,4.42,4.92,4.75,4.75,4.08,M137
172,100526,P1000107,2024-03-12,M110,-33.828972923308115,151.2163312332427,4.73,4.78,4.57,4.7,4.93,4.9,4.6,M110
173,100530,P1000106,2023-09-09,M104,-33.864532,151.207611,4.69,4.69,4.31,4.92,4.77,5.0,4.54,M104
174,100531,P1000424,2024-03-11,M114,-33.91571,151.17268,4.83,4.92,4.92,5.0,4.79,4.96,4.79,M114
175,100532,P1000425,2024-03-07,M110,-33.828972923308115,151.2163312332427,5.0,5.0,5.0,4.83,5.0,4.83,5.0,M110
176,100534,P1000308,2024-02-28,M109,-33.92552,151.25489,4.66,4.66,4.47,4.84,4.88,4.82,4.49,M109
177,100536,P1000428,2024-03-04,M110,-33.828972923308115,151.2163312332427,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M110
178,100538,P1000430,2024-01-23,M110,-33.828972923308115,151.2163312332427,4.76,4.82,4.82,4.65,4.82,5.0,4.71,M110
179,100539,P1000096,2024-03-16,M104,-33.864532,151.207611,4.83,5.0,4.8,5.0,5.0,5.0,4.8,M104
180,100544,P1000434,2024-03-11,M104,-33.864532,151.207611,4.92,4.92,4.92,4.92,4.88,4.92,4.68,M104
181,100546,P1000074,2024-02-27,M109,-33.92552,151.25489,4.0,4.75,3.75,4.5,4.25,4.75,4.25,M109
182,100550,P1000439,2022-11-06,M104,-33.864532,151.207611,3.8,4.0,3.2,4.0,4.2,4.2,3.6,M104
183,100551,P1000440,2024-03-13,M130,-33.8513269,151.0609753,4.59,4.58,4.4,4.62,4.56,4.78,4.42,M130
184,100560,P1000219,2024-02-24,M104,-33.864532,151.207611,5.0,5.0,5.0,4.0,5.0,5.0,5.0,M104
185,100561,P1000349,2023-05-21,M104,-33.864532,151.207611,4.0,5.0,4.5,4.5,4.5,5.0,4.5,M104
186,100567,P1000391,2024-03-16,M110,-33.828972923308115,151.2163312332427,4.56,4.74,4.58,4.82,4.71,4.89,4.37,M110
187,100568,P1000076,2024-01-04,M102,-33.89055,151.27523,4.25,4.25,4.25,4.5,5.0,5.0,4.0,M102
188,100569,P1000453,2024-03-11,M110,-33.828972923308115,151.2163312332427,4.69,4.72,4.64,4.9,4.79,4.69,4.54,M110
189,100570,P1000107,2024-03-07,M104,-33.864532,151.207611,4.68,4.61,4.82,4.68,4.86,4.61,4.46,M104
190,100572,P1000412,2024-02-26,M104,-33.864532,151.207611,4.67,4.7,4.7,4.89,4.88,4.79,4.54,M104
191,100575,P1000002,2024-03-10,M114,-33.91571,151.17268,4.63,4.7,4.57,4.87,4.7,4.8,4.37,M114
192,100577,P1000035,2023-10-02,M104,-33.864532,151.207611,4.17,4.5,4.17,3.83,4.33,4.5,4.17,M104
193,100579,P1000076,2024-02-25,M102,-33.89055,151.27523,4.58,4.5,4.58,4.92,4.83,4.75,4.33,M102
194,100580,P1000434,2024-03-04,M104,-33.864532,151.207611,4.75,4.83,4.82,4.93,4.9,4.82,4.83,M104
195,100586,P1000017,2024-03-03,M102,-33.89055,151.27523,4.69,4.73,4.7,4.69,4.67,4.92,4.44,M102
196,100588,P1000205,2024-01-05,M109,-33.92552,151.25489,5.0,5.0,5.0,5.0,5.0,5.0,5.0,M109
197,100590,P1000462,2024-02-26,M104,-33.864532,151.207611,4.96,5.0,4.92,4.92,4.92,4.92,4.81,M104
198,100591,P1000002,2024-02-24,M102,-33.89055,151.27523,4.4,4.51,4.36,4.81,4.48,4.81,4.29,M102
199,100592,P1000033,2024-02-22,M114,-33.91571,151.17268,4.59,4.72,4.19,4.79,4.79,4.95,4.34,M114
200,100594,P1000464,2021-01-10,M103,-33.82763,151.08623,3.5,4.5,4.0,4.5,4.0,5.0,5.0,M103
201,100598,P1000430,2024-02-06,M104,-33.864532,151.207611,4.24,4.22,4.34,4.47,4.32,4.81,4.22,M104
202,100599,P1000288,2024-02-28,M104,-33.864532,151.207611,4.63,4.7,4.56,4.7,4.86,4.83,4.52,M104
203,100601,P1000469,2024-03-02,M109,-33.92552,151.25489,4.21,4.5,4.29,4.5,4.5,4.71,4.23,M109
204,100602,P1000288,2024-02-22,M104,-33.864532,151.207611,4.59,4.65,4.61,4.75,4.73,4.82,4.5,M104
205,100605,P1000017,2023-08-18,M119,-33.88101,151.22511,4.26,4.37,4.44,4.56,4.52,4.85,4.33,M119
206,100613,P1000477,2024-03-01,M118,-33.716291,151.1083268,4.52,4.7,4.61,4.78,4.74,4.57,4.57,M118
207,100616,P1000332,2024-03-06,M105,-33.79585,151.28527,4.5,5.0,5.0,4.5,4.0,5.0,5.0,M105
208,100626,P1000485,2023-09-17,M130,-33.8513269,151.0609753,4.5,4.5,4.5,4.5,4.5,5.0,4.5,M130
209,100631,P1000490,2024-02-18,M128,-33.78071975708008,151.11386108398438,5.0,4.0,3.0,4.0,4.0,4.0,4.0,M128
210,100632,P1000491,2024-03-01,M129,-33.9279519,151.1552776,4.73,4.85,4.69,4.8,4.86,4.79,4.77,M129
211,100634,P1000129,2024-02-25,M108,-33.649899388892656,151.2796016585502,3.6,3.7,3.3,4.3,4.4,4.7,3.5,M108
212,100645,P1000112,2024-02-27,M133,-33.9410801,151.100121,3.0,4.0,3.0,3.0,3.0,4.0,3.0,M133
213,100647,P1000076,2024-02-29,M104,-33.864532,151.207611,4.75,4.83,4.83,3.5,4.83,5.0,4.75,M104
214,100648,P1000501,2024-02-17,M102,-33.89055,151.27523,3.0,4.5,3.0,3.0,5.0,5.0,3.0,M102
215,100649,P1000502,2024-02-15,M104,-33.864532,151.207611,5.0,5.0,5.0,4.75,5.0,5.0,5.0,M104
216,100650,P1000503,2024-03-06,M102,-33.89055,151.27523,4.92,4.75,4.58,4.83,5.0,4.83,4.75,M102
217,100651,P1000504,2024-02-13,M118,-33.716291,151.1083268,4.57,4.8,4.51,4.93,4.93,4.83,4.52,M118
218,100652,P1000006,2024-03-03,M113,-33.8017879,151.1765299,4.5,4.67,5.0,4.67,5.0,4.67,4.67,M113
