,tampering_type,tampering_percentage,method,accuracy,precision,recall,AUC_all,AUC_R,AUC_G
63,N,70,TDA,0.8734438451853298,0.9500375910250994,0.8629694182802302,0.8348492341871936,0.8421013765671996,0.8348492341871936
64,N,80,IsolationForest,0.22715990777943573,0.1859693485583631,0.028676166895785688,,,
65,N,80,LOF,0.2130271072330316,0.12166700807970994,0.018746433118601226,,,
66,N,80,OCSVM,0.31544477830410084,0.5244775643938925,0.14463451655516768,,,
67,N,80,TDA,0.8722690812494732,0.9473741425150529,0.86426546751802,0.8292151517032225,0.8400004236429994,0.8292151517032225
68,N,90,IsolationForest,0.21617817768500586,0.18049117157330063,0.0276738518589173,,,
69,N,90,LOF,0.20219312630902223,0.11657029751059562,0.01747354044515072,,,
70,N,90,OCSVM,0.3406265152808407,0.6024394984112378,0.18742422178323281,,,
71,N,90,TDA,0.8686860395469705,0.9502033763243133,0.8586409690755412,0.8499454761139406,0.8342794748713603,0.8499454761139406
72,S,10,IsolationForest,0.7120884786971471,0.08713891599815721,0.04949892470305568,,,
73,S,10,LOF,0.7086489050981433,0.07212762669975777,0.039702144718686445,,,
74,S,10,OCSVM,0.6526812526538055,0.05420326824534,0.04598472292525836,,,
75,S,10,TDA,0.8507186623429837,0.6306853391180378,0.6637235713586631,0.4109667621789883,0.8627150253741568,0.4109667621789883
76,S,20,IsolationForest,0.6969122617697101,0.0838641611362592,0.04269975550796037,,,
77,S,20,LOF,0.6935977908097989,0.06903549948918934,0.03499889698563474,,,
78,S,20,OCSVM,0.6465370044484938,0.06637021935479874,0.0513810622122101,,,
79,S,20,TDA,0.8384959686805418,0.6327913985355146,0.6264595787325297,0.40545926928026377,0.8389065326040613,0.40545926928026377
80,S,30,IsolationForest,0.6867226029723816,0.11144340158205697,0.05345387128951625,,,
81,S,30,LOF,0.6830311241634331,0.09454975322488308,0.04553246036853599,,,
82,S,30,OCSVM,0.6273247599977189,0.07215536353800378,0.05534574944533023,,,
83,S,30,TDA,0.8286886792399256,0.6467021061022845,0.5882922826161199,0.3948703785080025,0.8154227207429708,0.3948703785080025
84,S,40,IsolationForest,0.6757291852447623,0.11447480009976486,0.05161494149090093,,,
85,S,40,LOF,0.671642799020455,0.09618243283414729,0.04309609001663046,,,
86,S,40,OCSVM,0.6119983855384842,0.07058081722840019,0.052082124488892545,,,
87,S,40,TDA,0.8200993506594277,0.6534854355142997,0.5595404129404278,0.4022439535252453,0.7955743500041627,0.4022439535252453
88,S,50,IsolationForest,0.666124904128631,0.09128602750406885,0.040462742613516255,,,
89,S,50,LOF,0.6629810846278247,0.07727026124956293,0.033302089419457594,,,
90,S,50,OCSVM,0.6118667047496708,0.06533346648130477,0.04434473027624025,,,
91,S,50,TDA,0.8120346791251045,0.6445357024660419,0.5532543415860697,0.39188051313429906,0.791069229469587,0.39188051313429906
92,S,60,IsolationForest,0.670797801828763,0.09198820214324871,0.04039276238946766,,,
93,S,60,LOF,0.6694259463062749,0.08597705663352223,0.03874787222255529,,,
94,S,60,OCSVM,0.6220941675646058,0.06823091489559485,0.04242478089912926,,,
95,S,60,TDA,0.8104180427263274,0.6314250877288193,0.5488426573833379,0.4124084651987506,0.7888087198694419,0.4124084651987506
96,S,70,IsolationForest,0.6632498583112479,0.09838907272468377,0.04244576058697286,,,
97,S,70,LOF,0.6595100441378589,0.08127063043674956,0.03523977482856774,,,
98,S,70,OCSVM,0.6107758190471764,0.07107989937219614,0.04703470974046106,,,
99,S,70,TDA,0.8056621852721161,0.642493874790496,0.5288308571582664,0.3783736234320399,0.7762192208743867,0.3783736234320399
100,S,80,IsolationForest,0.6600851232100928,0.11277056917500519,0.04772497345888969,,,
101,S,80,LOF,0.6568173161762424,0.09803874004871348,0.04150547164703851,,,
102,S,80,OCSVM,0.6103142230622128,0.07919249167519352,0.050310415328579064,,,
103,S,80,TDA,0.803775950243521,0.6506443594936526,0.5279186225764748,0.3986970792155631,0.7768081357642752,0.3986970792155631
104,S,90,IsolationForest,0.6524671768565612,0.10680308942472196,0.04369919165413162,,,
105,S,90,LOF,0.6502931512864896,0.0971275758159052,0.039558648927731935,,,
106,S,90,OCSVM,0.5969904524516922,0.07324265167028526,0.04638360413465477,,,
107,S,90,TDA,0.796040646933873,0.6465647380180826,0.5084273308752261,0.39935271479332757,0.7681794005331838,0.39935271479332757
